01.  .   ;LUKSCOLOR;     ;.;0,00
01.01.   ;LATEX PVA - LKS;FR   ;LATEX PVA;0,00
01.01.001;LATEX PVA BRANCO - TRADICAO LKS;LA   ;LATEX PVA;303,54
01.01.002;LATEX PVA BRANCO - TRADICAO LKS;GL   ;LATEX PVA;73,00
01.01.003;LATEX PVA BRANCO - TRADICAO LKS;PT   ;LATEX PVA;24,22
01.01.004;LATEX PVA GELO - TRADICAO LKS;LA   ;LATEX PVA;303,54
01.01.005;LATEX PVA GELO - TRADICAO LKS;GL   ;LATEX PVA;73,00
01.01.006;LATEX PVA PEROLA - TRADICAO LKS;LA   ;LATEX PVA;313,22
01.01.007;LATEX PVA PEROLA - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.008;LATEX PVA PALHA - TRADICAO LKS;LA   ;LATEX PVA;303,54
01.01.009;LATEX PVA PALHA - TRADICAO LKS;GL   ;LATEX PVA;73,00
01.01.010;LATEX PVA MARFIM - TRADICAO LKS;LA   ;LATEX PVA;313,22
01.01.011;LATEX PVA MARFIM - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.012;LATEX PVA AREIA - TRADICAO LKS;LA   ;LATEX PVA;313,22
01.01.013;LATEX PVA AREIA - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.014;LATEX PVA CAMURCA - TRADICAO LKS;LA   ;LATEX PVA;313,22
01.01.015;LATEX PVA CAMURCA - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.016;LATEX PVA AM CANARIO - TRADICAO LKS;LA   ;LATEX PVA;313,22
01.01.017;LATEX PVA AM CANARIO - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.018;LATEX PVA AM CROMO - TRADICAO LKS;LA   ;LATEX PVA;313,22
01.01.019;LATEX PVA AM CROMO - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.020;LATEX PVA AM TERRA - TRADICAO LKS;LA   ;LATEX PVA;313,22
01.01.021;LATEX PVA AM TERRA - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.022;LATEX PVA PESSEGO - TRADICAO LKS;LA   ;LATEX PVA;313,22
01.01.023;LATEX PVA PESSEGO - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.024;LATEX PVA FLAMINGO - TRADICAO LKS;LA   ;LATEX PVA;313,22
01.01.025;LATEX PVA FLAMINGO - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.026;LATEX PVA TERRACOTA - TRADICAO LKS;LA   ;LATEX PVA;313,22
01.01.027;LATEX PVA TERRACOTA - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.028;LATEX PVA VERMELHO - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.029;LATEX PVA VERMELHO - TRADICAO LKS;PT   ;LATEX PVA;25,09
01.01.031;LATEX PVA AZUL CEU - TRADICAO LKS;LA   ;LATEX PVA;313,22
01.01.032;LATEX PVA AZUL CEU - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.033;LATEX PVA AZUL - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.034;LATEX PVA AZUL - TRADICAO LKS;PT   ;LATEX PVA;25,09
01.01.035;LATEX PVA VERDE PRIMAVERA - TRADICAO LKS;LA   ;LATEX PVA;313,22
01.01.036;LATEX PVA VERDE PRIMAVERA - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.038;LATEX PVA CONCRETO - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.041;LATEX PVA PRETO - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.042;LATEX PVA PRETO - TRADICAO LKS;PT   ;LATEX PVA;25,09
01.01.043;LATEX PVA VERDE AGUA - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.044;LATEX PVA VERDE AGUA - TRADICAO LKS;LA   ;LATEX PVA;313,22
01.01.049;LATEX PVA AM VANILLA - TRADICAO LKS;LA   ;LATEX PVA;313,22
01.01.050;LATEX PVA AM VANILLA - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.051;LATEX PVA ALGODAO EGIPCIO - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.052;LATEX PVA CROMIO - TRADICAO LKS;GL   ;LATEX PVA;74,43
01.01.053;LATEX PVA ALGODAO EGIPCIO - TRADICAO LKS;LA   ;LATEX PVA;313,22
01.01.054;LATEX PVA CROMIO - TRADICAO LKS;LA   ;LATEX PVA;313,22
01.02.   ;LATEX AC FOSCO - LKS;FR   ;LATEX ACRILICO;0,00
01.02.001;LATEX AC FOSCO AM CANARIO - SUPRA LKS;GL   ;LATEX ACRILICO;110,90
01.02.002;LATEX AC FOSCO AM CANARIO - SUPRA LKS;LA   ;LATEX ACRILICO;425,11
01.02.003;LATEX AC FOSCO AM CROMO - SUPRA LKS;LA   ;LATEX ACRILICO;425,12
01.02.004;LATEX AC FOSCO AM CROMO - SUPRA LKS;GL   ;LATEX ACRILICO;110,90
01.02.005;LATEX AC FOSCO AM TERRA - SUPRA LKS;GL   ;LATEX ACRILICO;110,90
01.02.006;LATEX AC FOSCO AM TERRA - SUPRA LKS;LA   ;LATEX ACRILICO;425,11
01.02.007;LATEX AC FOSCO BRANCO - SUPRA LKS;LA   ;LATEX ACRILICO;410,76
01.02.008;LATEX AC FOSCO BRANCO - SUPRA LKS;GL   ;LATEX ACRILICO;108,10
01.02.009;LATEX AC FOSCO GELO - SUPRA LKS;GL   ;LATEX ACRILICO;108,10
01.02.010;LATEX AC FOSCO GELO - SUPRA LKS;LA   ;LATEX ACRILICO;410,76
01.02.011;LATEX AC FOSCO MARFIM - SUPRA LKS;LA   ;LATEX ACRILICO;425,11
01.02.012;LATEX AC FOSCO MARFIM - SUPRA LKS;GL   ;LATEX ACRILICO;110,90
01.02.013;LATEX AC FOSCO PEROLA - SUPRA LKS;GL   ;LATEX ACRILICO;110,90
01.02.014;LATEX AC FOSCO PEROLA - SUPRA LKS;LA   ;LATEX ACRILICO;425,11
01.02.015;LATEX AC FOSCO PESSEGO  - SUPRA LKS;LA   ;LATEX ACRILICO;425,11
01.02.016;LATEX AC FOSCO PESSEGO  - SUPRA LKS;GL   ;LATEX ACRILICO;110,90
01.02.017;LATEX AC FOSCO TERRACOTA - SUPRA LKS;LA   ;LATEX ACRILICO;425,11
01.02.018;LATEX AC FOSCO TERRACOTA - SUPRA LKS;GL   ;LATEX ACRILICO;110,90
01.02.021;LATEX AC FOSCO DAMASCO - SUPRA LKS;GL   ;LATEX ACRILICO;110,90
01.02.022;LATEX AC FOSCO DAMASCO - SUPRA LKS;LA   ;LATEX ACRILICO;425,11
01.02.023;LATEX AC FOSCO KIWI - SUPRA LKS;GL   ;LATEX ACRILICO;110,90
01.02.024;LATEX AC FOSCO KIWI - SUPRA LKS;LA   ;LATEX ACRILICO;425,11
01.02.025;LATEX AC FOSCO VERDE LIMAO - SUPRA LKS;GL   ;LATEX ACRILICO;110,90
01.02.026;LATEX AC FOSCO VERDE LIMAO - SUPRA LKS;LA   ;LATEX ACRILICO;425,11
01.02.031;LATEX AC FOSCO TOMATE SECO - SUPRA LKS;LA   ;LATEX ACRILICO;425,12
01.02.032;LATEX AC FOSCO TOMATE SECO - SUPRA LKS;GL   ;LATEX ACRILICO;110,91
01.02.033;LATEX AC FOSCO VERDE MUSGO - SUPRA LKS;GL   ;LATEX ACRILICO;110,90
01.02.034;LATEX AC FOSCO VERDE MUSGO - SUPRA LKS;LA   ;LATEX ACRILICO;425,12
01.02.037;LATEX AC FOSCO PALHA - SUPRA LKS;LA   ;LATEX ACRILICO;410,76
01.02.038;LATEX AC FOSCO PALHA - SUPRA LKS;GL   ;LATEX ACRILICO;108,10
01.02.039;LATEX AC FOSCO CAMURCA - SUPRA LKS;GL   ;LATEX ACRILICO;110,90
01.02.040;LATEX AC FOSCO CAMURCA - SUPRA LKS;LA   ;LATEX ACRILICO;425,11
01.02.041;LATEX AC FOSCO AREIA - SUPRA LKS;LA   ;LATEX ACRILICO;425,11
01.02.042;LATEX AC FOSCO AREIA - SUPRA LKS;GL   ;LATEX ACRILICO;110,90
01.02.044;LATEX AC FOSCO CROMIO - SUPRA LKS;LA   ;LATEX ACRILICO;425,11
01.02.045;LATEX AC FOSCO METAL - SUPRA LKS;LA   ;LATEX ACRILICO;425,11
01.02.046;LATEX AC FOSCO ALGODAO EGIPCIO - SUPRA LKS;LA   ;LATEX ACRILICO;425,11
01.02.047;LATEX AC FOSCO CHOCOLATE - SUPRA LKS;LA   ;LATEX ACRILICO;425,11
01.02.048;LATEX AC FOSCO CROMIO - SUPRA LKS;GL   ;LATEX ACRILICO;110,90
01.02.049;LATEX AC FOSCO METAL - SUPRA LKS;GL   ;LATEX ACRILICO;110,90
01.02.050;LATEX AC FOSCO ALGODAO EGIPCIO - SUPRA LKS;GL   ;LATEX ACRILICO;110,90
01.02.051;LATEX AC FOSCO CHOCOLATE - SUPRA LKS;GL   ;LATEX ACRILICO;110,90
01.03.   ;LATEX AC SM BRIL - LKS;FR   ;LATEX ACRILICO;0,00
01.03.001;LUKSCLEAN SEMI-BRILHO BRANCO - LKS;LA   ;LATEX ACRILICO;504,88
01.03.002;LUKSCLEAN SEMI-BRILHO BRANCO - LKS;GL   ;LATEX ACRILICO;115,21
01.04.   ;ESMALTE SINT BRIL - LKS;FR   ;ESMALTE SINTETICO;0,00
01.04.001;ESMALTE SINT BRIL ALUMINIO - LKS;GL   ;ESMALTE SINTETICO;98,63
01.04.002;ESMALTE SINT BRIL ALUMINIO - LKS;PT   ;ESMALTE SINTETICO;31,00
01.04.005;ESMALTE SINT BRIL AM YPE - LKS;GL   ;ESMALTE SINTETICO;93,83
01.04.006;ESMALTE SINT BRIL AM YPE - LKS;PT   ;ESMALTE SINTETICO;29,36
01.04.007;ESMALTE SINT BRIL AMARELO - LKS*;PT   ;ESMALTE SINTETICO;29,36
01.04.008;ESMALTE SINT BRIL AMARELO - LKS;GL   ;ESMALTE SINTETICO;93,83
01.04.011;ESMALTE SINT BRIL AREIA - LKS;GL   ;ESMALTE SINTETICO;93,83
01.04.012;ESMALTE SINT BRIL AREIA - LKS;PT   ;ESMALTE SINTETICO;29,35
01.04.014;ESMALTE SINT BRIL AZ CEU - LKS;GL   ;ESMALTE SINTETICO;93,83
01.04.015;ESMALTE SINT BRIL AZ CLT - LKS;GL   ;ESMALTE SINTETICO;93,83
01.04.016;ESMALTE SINT BRIL AZ CLT - LKS;PT   ;ESMALTE SINTETICO;29,36
01.04.017;ESMALTE SINT BRIL AZ DEL - LKS;PT   ;ESMALTE SINTETICO;29,36
01.04.018;ESMALTE SINT BRIL AZ DEL - LKS;GL   ;ESMALTE SINTETICO;93,83
